REF_DATE,GEO,DGUID,Age group,Gender,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1979,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,45400.0,,,,0
1979,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,42900.0,,,,0
1979,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,42400.0,,,,0
1980,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,36700.0,,,,0
1980,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,37900.0,,,,0
1980,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,46800.0,,,,0
1980,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,43500.0,,,,0
1980,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,38900.0,,,,0
1980,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,47800.0,,,,0
1980,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,44100.0,,,,0
1980,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,50200.0,,,,0
1981,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,34900.0,,,,0
1981,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,39400.0,,,,0
1981,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,45200.0,,,,0
1981,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,43200.0,,,,0
1981,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,37000.0,,,,0
1981,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,47900.0,,,,0
1981,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,48600.0,,,,0
1981,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,43400.0,,,,0
1982,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,30900.0,,,,0
1982,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,36300.0,,,,0
1982,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,44500.0,,,,0
1982,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,40700.0,,,,0
1982,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,34600.0,,,,0
1982,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,49700.0,,,,0
1982,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,45300.0,,,,0
1982,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,43300.0,,,,0
1983,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,33700.0,,,,0
1983,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,34200.0,,,,0
1983,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,39900.0,,,,0
1983,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,38700.0,,,,0
1983,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,36400.0,,,,0
1983,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,41600.0,,,,0
1983,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,41500.0,,,,0
1983,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,42800.0,,,,0
1984,"Québec, Quebec",2021S0503421,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107684258,14.1.1.1.5,33800.0,,,,0
1984,"Montréal, Quebec",2021S0503462,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107686058,15.1.1.1.5,33900.0,,,,0
1984,"Ottawa-Gatineau, Ontario/Quebec",2021S0503505,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107687858,16.1.1.1.5,42900.0,,,,0
1984,"Toronto, Ontario",2021S0503535,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107689658,17.1.1.1.5,40400.0,,,,0
1984,"Winnipeg, Manitoba",2021S0503602,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107691458,18.1.1.1.5,37400.0,,,,0
1984,"Calgary, Alberta",2021S0503825,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107693258,19.1.1.1.5,40200.0,,,,0
1984,"Edmonton, Alberta",2021S0503835,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107695058,20.1.1.1.5,39800.0,,,,0
1984,"Vancouver, British Columbia",2021S0503933,15 years and over,Total - Gender,Total income,Median income (excluding zeros),2024 constant dollars,455,units,0,v107696858,21.1.1.1.5,37000.0,,,,0
